flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,Love Field,KDAL,DAL,2022-01-01T17:47:00+00:00,San Diego International Airport,KSAN,SAN,Southwest Airlines,SWA,2425,WN2425,SWA2425,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T17:52:00+00:00,Ontario International,KONT,ONT,Southwest Airlines,SWA,3515,WN3515,SWA3515,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:35:00+00:00,Pensacola International Airport,KPNS,PNS,Southwest Airlines,SWA,2569,WN2569,SWA2569,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:27:00+00:00,Kansas City International Airport,KMCI,MCI,Southwest Airlines,SWA,3151,WN3151,SWA3151,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T19:07:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,3176,WN3176,SWA3176,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:31:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,3189,WN3189,SWA3189,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:38:00+00:00,George Bush Intercontinental,KIAH,IAH,Southwest Airlines,SWA,1475,WN1475,SWA1475,,,,
01/01/2022,Love Field,KDAL,DAL,,Colorado Springs,KCOS,COS,Southwest Airlines,SWA,2722,WN2722,SWA2722,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:41:00+00:00,Tampa International,KTPA,TPA,Southwest Airlines,SWA,2316,WN2316,SWA2316,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T18:24:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,3379,WN3379,SWA3379,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T19:49:00+00:00,Nashville International,KBNA,BNA,Southwest Airlines,SWA,3610,WN3610,SWA3610,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T18:08:00+00:00,Valley International,KHRL,HRL,Qatar Airways,QTR,9043,QR9043,QTR9043,,,,
01/01/2022,San Antonio International,KSAT,SAT,,Love Field,KDAL,DAL,empty,,,,,,,,
01/01/2022,Rapid City Regional Airport,KRAP,RAP,,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,9046,QR9046,QTR9046,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T13:12:00+00:00,Rapid City Regional Airport,KRAP,RAP,NetJets Aviation,EJA,408,1I408,EJA408,,,,
01/01/2022,Birmingham,KBHM,BHM,,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,6494,AS6494,ASA6494,,,,
01/01/2022,Birmingham,KBHM,BHM,2022-01-01T18:26:00+00:00,Miami International Airport,KMIA,MIA,British Airways,BAW,5250,BA5250,BAW5250,,,,
01/01/2022,Miami International Airport,KMIA,MIA,2022-01-01T16:45:00+00:00,Birmingham,KBHM,BHM,British Airways,BAW,6765,BA6765,BAW6765,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T17:24:00+00:00,Birmingham,KBHM,BHM,American Airlines,AAL,5108,AA5108,AAL5108,,,,
01/01/2022,Sacramento International,KSMF,SMF,2022-01-01T17:24:00+00:00,Long Beach Municipal,KLGB,LGB,Southwest Airlines,SWA,1171,WN1171,SWA1171,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T18:27:00+00:00,Seattle-Tacoma International,KSEA,SEA,Korean Air,KAL,3062,KE3062,KAL3062,,,,
01/01/2022,Jackson-evers,KJAN,JAN,2022-01-01T17:53:00+00:00,Dallas/Fort Worth International,KDFW,DFW,American Airlines,AAL,3607,AA3607,AAL3607,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T17:09:00+00:00,Jackson-evers,KJAN,JAN,American Airlines,AAL,5333,AA5333,AAL5333,,,,
01/01/2022,Lincoln,KLNK,LNK,2022-01-01T17:47:00+00:00,Minneapolis - St. Paul International,KMSP,MSP,Delta Air Lines,DAL,4313,DL4313,DAL4313,,,,
01/01/2022,"Jacksonville,",KJAX,JAX,2022-01-01T19:08:00+00:00,Lambert-St. Louis International,KSTL,STL,Southwest Airlines,SWA,2792,WN2792,SWA2792,,,,
01/01/2022,"Jacksonville,",KJAX,JAX,2022-01-01T19:25:00+00:00,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,3332,WN3332,SWA3332,,,,
01/01/2022,"Jacksonville,",KJAX,JAX,2022-01-01T19:14:00+00:00,John F Kennedy International,KJFK,JFK,American Airlines,AAL,9387,AA9387,AAL9387,,,,
01/01/2022,"Jacksonville,",KJAX,JAX,2022-01-01T19:49:00+00:00,Washington Dulles International,KIAD,IAD,United Airlines,UAL,6135,UA6135,UAL6135,,,,
01/01/2022,Miami International Airport,KMIA,MIA,2022-01-01T17:42:00+00:00,"Jacksonville,",KJAX,JAX,British Airways,BAW,4787,BA4787,BAW4787,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T15:39:00+00:00,"Jacksonville,",KJAX,JAX,Alaska Airlines,ASA,6812,AS6812,ASA6812,,,,
01/01/2022,Williams Gateway,KIWA,AZA,,Hector Field,KFAR,FAR,Allegiant Air,AAY,1407,G41407,AAY1407,,,,
01/01/2022,Williams Gateway,KIWA,AZA,2022-01-01T17:17:00+00:00,Bismarck,KBIS,BIS,Allegiant Air,AAY,1211,G41211,AAY1211,,,,
01/01/2022,Sarasota/Bradenton International,KSRQ,SRQ,2022-01-01T18:45:00+00:00,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,1601,WN1601,SWA1601,,,,
01/01/2022,Sarasota/Bradenton International,KSRQ,SRQ,2022-01-01T19:28:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,3260,WN3260,SWA3260,,,,
01/01/2022,Sarasota/Bradenton International,KSRQ,SRQ,2022-01-01T19:05:00+00:00,La Guardia,KLGA,LGA,JetBlue Airways,JBU,2332,B62332,JBU2332,,,,
01/01/2022,Sarasota/Bradenton International,KSRQ,SRQ,2022-01-01T19:55:00+00:00,Nashville International,KBNA,BNA,Southwest Airlines,SWA,2939,WN2939,SWA2939,,,,
01/01/2022,Lanai City,PHNY,LNY,2022-01-01T13:14:00+00:00,Honolulu International,PHNL,HNL,Southern Airways Express,FDY,683,9X683,FDY683,,,,
01/01/2022,International Jetport,KPWM,PWM,2022-01-01T20:22:00+00:00,Tampa International,KTPA,TPA,Frontier Airlines,FFT,2539,F92539,FFT2539,,,,
01/01/2022,Corpus Christi International Airport,KCRP,CRP,2022-01-01T18:35:00+00:00,George Bush Intercontinental,KIAH,IAH,Air Canada,ACA,3874,AC3874,ACA3874,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T17:36:00+00:00,Corpus Christi International Airport,KCRP,CRP,Alaska Airlines,ASA,6621,AS6621,ASA6621,,,,
01/01/2022,Texarkana Municipal,KTXK,TXK,2022-01-01T09:54:00+00:00,Corpus Christi International Airport,KCRP,CRP,empty,,,,,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:28:00+00:00,Nashville International,KBNA,BNA,American Airlines,AAL,4520,AA4520,AAL4520,,,,
