index,flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
79,01/01/2022,Yellowstone Regional,KCOD,COD,2022-01-01T13:40:00+00:00,Denver International,KDEN,DEN,United Airlines,UAL,4706,UA4706,UAL4706,44.5170669,-109.0227432,39.8560963,-104.6737376
80,01/01/2022,Municipal/Baer Field,KFWA,FWA,2022-01-01T15:42:00+00:00,Aspen,KASE,ASE,NetJets Aviation,EJA,583,1I583,EJA583,40.9774796,-85.1960362,39.2197303,-106.8646011
81,01/01/2022,Municipal/Baer Field,KFWA,FWA,,Syracuse Hancock International Airport,KSYR,SYR,American Airlines,AAL,9914,AA9914,AAL9914,40.9774796,-85.1960362,43.1139223,-76.1136982
82,01/01/2022,Hartsfield-jackson Atlanta International,KATL,ATL,2022-01-01T15:24:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,547,DL547,DAL547,33.6407282,-84.4277001,40.7899404,-111.9790706
83,01/01/2022,Colorado Springs,KCOS,COS,2022-01-01T14:21:00+00:00,Denver International,KDEN,DEN,Air Canada,ACA,4191,AC4191,ACA4191,38.801712,-104.7026039,39.8560963,-104.6737376
84,01/01/2022,Colorado Springs,KCOS,COS,2022-01-01T14:05:00+00:00,Mc Carran International,KLAS,LAS,Volaris,VOI,2546,Y42546,VOI2546,38.801712,-104.7026039,36.0839998,-115.1537389
85,01/01/2022,Quad-City,KMLI,MLI,,Colorado Springs,KCOS,COS,Delta Private Jets,DPJ,465,,DPJ465,41.4496341,-90.5082706,38.801712,-104.7026039
86,01/01/2022,Fort Lauderdale–Hollywood International,KFLL,FLL,2022-01-01T15:33:00+00:00,Asheville Regional Airport,KAVL,AVL,Allegiant Air,AAY,476,G4476,AAY476,26.0742344,-80.1506022,35.4348962,-82.5378541
87,01/01/2022,Fort Lauderdale–Hollywood International,KFLL,FLL,2022-01-01T15:22:00+00:00,Newark Liberty International,KEWR,EWR,United Airlines,UAL,1167,UA1167,UAL1167,26.0742344,-80.1506022,40.6895314,-74.1744624
88,01/01/2022,Fort Lauderdale–Hollywood International,KFLL,FLL,2022-01-01T15:24:00+00:00,William P Hobby,KHOU,HOU,Southwest Airlines,SWA,2723,WN2723,SWA2723,26.0742344,-80.1506022,29.6459141,-95.2768951
89,01/01/2022,Fort Lauderdale–Hollywood International,KFLL,FLL,2022-01-01T15:36:00+00:00,Nashville International,KBNA,BNA,Southwest Airlines,SWA,3141,WN3141,SWA3141,26.0742344,-80.1506022,36.126317,-86.6773713
90,01/01/2022,Fort Lauderdale–Hollywood International,KFLL,FLL,2022-01-01T15:55:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,1249,DL1249,DAL1249,26.0742344,-80.1506022,33.6407282,-84.4277001
