,city,state_id,latitude,longitude,population,airport,distance
303,Joliet,IL,41.5189,-88.1499,147344,,
304,Beaumont,TX,30.0849,-94.1451,146091,,
305,Paterson,NJ,40.9147,-74.1624,145233,,
306,Merced,CA,37.3057,-120.4778,145149,,
307,Pueblo,CO,38.2705,-104.6112,143932,PUB,0.11657399982761124
308,Tyler,TX,32.3184,-95.3062,143796,TYR,0.10848316958925242
309,Torrance,CA,33.8346,-118.3417,143592,,
310,Yuma,AZ,32.5992,-114.5488,142847,,
311,Metairie,LA,29.9977,-90.178,142135,,
312,Surprise,AZ,33.68,-112.4524,141664,,
313,Columbia,MO,38.9478,-92.3256,141645,COU,0.1668921610166873
314,Athens,GA,33.9508,-83.3689,141532,,
315,Roseville,CA,38.7703,-121.3196,141500,,
316,Thornton,CO,39.9197,-104.9438,141464,,
317,Miramar,FL,25.9773,-80.3351,141191,,
318,Pasadena,CA,34.1597,-118.139,141029,,
319,Mesquite,TX,32.7623,-96.5889,140937,,
320,Olathe,KS,38.8832,-94.8198,140545,,
321,Santa Maria,CA,34.9334,-120.4432,140545,,
322,Houma,LA,29.5799,-90.7058,140469,,
323,Carrollton,TX,32.989,-96.8999,139248,,
324,Grand Junction,CO,39.0876,-108.5673,139143,GJT,0.05152622684351921
325,Charleston,WV,38.3484,-81.6323,138706,CRW,0.04516589138720253
326,Orange,CA,33.8038,-117.8218,138669,,
327,Fullerton,CA,33.8841,-117.9279,138632,,
328,Greeley,CO,40.4151,-104.7706,137810,,
329,Carolina,PR,18.4054,-65.9792,136771,SJU,0.03289875354386401
330,Las Cruces,NM,32.3265,-106.7892,136254,,
331,Panama City,FL,30.1995,-85.6004,136133,,
332,Harlingen,TX,26.1917,-97.6976,136037,HRL,0.04744869564666621
333,West Valley City,UT,40.6889,-112.0115,135248,,
334,Hampton,VA,37.0551,-76.363,134510,,
335,Warren,MI,42.4934,-83.027,133943,,
336,Mauldin,SC,34.7849,-82.3005,133872,,
337,Bloomington,IL,40.4757,-88.9703,133846,BMI,0.056535173585470236
338,Coral Springs,FL,26.2702,-80.2591,133759,,
339,Round Rock,TX,30.5254,-97.666,133372,,
340,Yakima,WA,46.5923,-120.5496,133191,YKM,0.02539772011854953
341,Sterling Heights,MI,42.5809,-83.0305,132438,,
342,Kent,WA,47.3887,-122.2129,132319,,
343,Burlington,NC,36.0758,-79.4686,131043,,
