East Ridge,TN,34.9973,-85.2284,21182,CHA,0.050962406
Elko,NV,40.8387,-115.7674,21179,EKO,0.022120897
Punta Gorda,FL,26.8933,-82.0516,20369,PGD,0.061581546
Bayshore Gardens,FL,27.4345,-82.5794,20287,SRQ,0.046959632
Durango,CO,37.2659,-107.8782,20203,DRO,0.165941827
Pleasantville,NJ,39.39,-74.5169,20149,ACY,0.083200631
Ashland,KY,38.4592,-82.6449,20146,HTS,0.126595195
Escanaba,MI,45.7477,-87.09,20094,ESC,0.029947807
Vernal,UT,40.4517,-109.5379,19893,VEL,0.025667736
Brainerd,MN,46.3553,-94.1982,19583,BRD,0.068311917
Sheridan,WY,44.7962,-106.9643,19320,SHR,0.023163674
Fox Crossing,WI,44.2229,-88.4763,19012,ATW,0.051232802
Whitehall,OH,39.9682,-82.8833,18926,CMH,0.031975773
Anacortes,WA,48.4878,-122.6292,18563,FRD,0.398707742
Winthrop,MA,42.3751,-70.9847,18544,BOS,0.026608813
Iron Mountain,MI,45.8275,-88.0599,18432,IMT,0.059990457
Brook Park,OH,41.4036,-81.8219,18382,CLE,0.032042411
Cudahy,WI,42.9467,-87.8641,18104,MKE,0.032557187
Bensenville,IL,41.9593,-87.9433,18044,ORD,0.040209383
Belgrade,MT,45.7796,-111.1751,17743,BZN,0.013924134
Tillmans Corner,AL,30.5818,-88.2128,17560,MOB,0.115429021
Woodmere,NY,40.6374,-73.7219,17470,JFK,0.056374149
Knik-Fairview,AK,61.4964,-149.6535,17457,OME,16.07501077
South Houston,TX,29.6611,-95.2285,17438,HOU,0.050721763
Burlington,KY,39.0223,-84.7217,17401,CVG,0.061443658
Versailles,KY,38.0487,-84.7259,17298,LEX,0.123775983
McKinleyville,CA,40.9488,-124.0857,17208,ACV,0.030419729
Bemidji,MN,47.4828,-94.8796,16807,BJI,0.059050206
El Segundo,CA,33.9169,-118.4021,16610,LAX,0.025512481
Highland Springs,VA,37.5516,-77.3285,16459,RIC,0.045672345
Centerton,AR,36.3567,-94.2971,16244,XNA,0.078372177
Niceville,FL,30.5291,-86.4754,15972,VPS,0.081696057
Hibbing,MN,47.3981,-92.9487,15855,HIB,0.106663554
White Center,WA,47.5086,-122.348,15834,BFI,0.052439206
Humble,TX,29.9921,-95.2655,15824,IAH,0.07130749
Fullerton,PA,40.6308,-75.4834,15787,ABE,0.044406347
Shively,KY,38.197,-85.8136,15689,SDF,0.07959056
Houghton,MI,47.1119,-88.5672,15543,CMX,0.092562779
Weston,WI,44.8905,-89.5487,15167,CWA,0.163311107
College Park,GA,33.6363,-84.464,15159,ATL,0.036568999
Jamestown,ND,46.9063,-98.6936,15084,JMS,0.024758221
Depew,NY,42.9117,-78.7044,15011,BUF,0.03761219
Vandalia,OH,39.879,-84.193,14997,DAY,0.037164637
Ferndale,WA,48.8525,-122.5893,14897,ESD,0.352505931
Pierre,SD,44.3748,-100.3205,14659,PIR,0.025114637
Halawa,HI,21.3753,-157.9185,14453,HNL,0.057059314
Hollins,VA,37.3434,-79.9535,14329,ROA,0.028420031
East Wenatchee,WA,47.4174,-120.2822,14219,EAT,0.073109719
Greensburg,PA,40.3113,-79.5444,14113,LBE,0.144234444
Steamboat Springs,CO,40.4777,-106.8243,14087,HDN,0.39548932
Miami Springs,FL,25.8195,-80.2894,13917,MIA,0.023744188
Maumee,OH,41.5696,-83.6636,13669,TOL,0.146554463
Colonial Park,PA,40.2997,-76.8068,13583,MDT,0.116345911
Sault Ste. Marie,MI,46.4817,-84.3723,13420,CIU,0.246126222
Timberlake,VA,37.3167,-79.2482,13247,LYH,0.047539101
Baker,LA,30.5833,-91.1581,13194,BTR,0.051370907
South Sioux City,NE,42.4627,-96.4126,12809,SUX,0.07048098
College,AK,64.8694,-147.8217,12791,BRW,11.01615375
Lahaina,HI,20.8848,-156.6618,12776,LNY,0.303075132
Herrin,IL,37.7983,-89.0305,12687,MWA,0.054702761
St. Ann,MO,38.7266,-90.3872,12629,STL,0.026421072
Panama City Beach,FL,30.2369,-85.8775,12583,ECP,0.141404125
Jackson,WY,43.4721,-110.7745,12576,JAC,0.136705526
Belmont,NC,35.2211,-81.0402,12558,CLT,0.093126541
Riverton,WY,43.0421,-108.414,12445,RIW,0.048400571
Webb City,MO,37.1413,-94.4676,12134,JLN,0.038056796
Carnot-Moon,PA,40.5187,-80.2178,11997,PIT,0.031948348
