city,state_id,state_name,latitude,longitude,population
Evergreen,MT,Montana,48.2308,-114.2701,8002
Mascoutah,IL,Illinois,38.5192,-89.8044,7994
Brazil,IN,Indiana,39.5226,-87.124,7993
Aberdeen,NC,North Carolina,35.135,-79.4326,7988
Jennings Lodge,OR,Oregon,45.3926,-122.6153,7988
Jefferson,WI,Wisconsin,43.0044,-88.8084,7986
Paloma Creek South,TX,Texas,33.21,-96.9327,7986
Manhasset,NY,New York,40.7884,-73.6943,7985
Green,OR,Oregon,43.1509,-123.3854,7985
Lampasas,TX,Texas,31.064,-98.1824,7982
Village Green-Green Ridge,PA,Pennsylvania,39.8638,-75.4256,7980
Kensington,CT,Connecticut,41.6298,-72.7714,7971
Fort Belvoir,VA,Virginia,38.7119,-77.1459,7967
Brentwood,MO,Missouri,38.6194,-90.3476,7966
Laughlin,NV,Nevada,35.1316,-114.689,7965
Aztec,NM,New Mexico,36.819,-107.9826,7963
St. Martin,MS,Mississippi,30.4399,-88.8651,7963
La Junta,CO,Colorado,37.9792,-103.5473,7963
Murphy,MO,Missouri,38.4922,-90.4856,7961
Southwest Ranches,FL,Florida,26.0476,-80.375,7957
Quincy,FL,Florida,30.5659,-84.5857,7957
Richland Hills,TX,Texas,32.8095,-97.2273,7953
Maryville,IL,Illinois,38.7261,-89.9646,7952
Baltimore Highlands,MD,Maryland,39.2355,-76.6367,7944
Caldwell,NJ,New Jersey,40.839,-74.2776,7941
Hillside,IL,Illinois,41.8674,-87.9019,7933
Columbiana,OH,Ohio,40.8871,-80.675,7931
Logan,OH,Ohio,39.5386,-82.4063,7930
Batesville,IN,Indiana,39.2974,-85.2139,7930
Glastonbury Center,CT,Connecticut,41.7019,-72.6001,7929
Sheboygan Falls,WI,Wisconsin,43.729,-87.8266,7926
Temple Hills,MD,Maryland,38.8106,-76.9495,7926
Wytheville,VA,Virginia,36.953,-81.0881,7921
St. Francis,MN,Minnesota,45.3991,-93.3902,7916
Hitchcock,TX,Texas,29.2945,-95.025,7914
Catalina,AZ,Arizona,32.4848,-110.8998,7910
Bonner Springs,KS,Kansas,39.0817,-94.8776,7906
Long Grove,IL,Illinois,42.1968,-88.0057,7905
Camp Hill,PA,Pennsylvania,40.2423,-76.9274,7905
Mansfield Center,MA,Massachusetts,42.0225,-71.218,7905
Wilmington Manor,DE,Delaware,39.6858,-75.5849,7903
Topanga,CA,California,34.0964,-118.6053,7900
Downingtown,PA,Pennsylvania,40.0076,-75.7019,7897
Grand Ledge,MI,Michigan,42.7534,-84.7448,7896
Old Forge,PA,Pennsylvania,41.3705,-75.7409,7894
Lincolnshire,IL,Illinois,42.1957,-87.9182,7893
Blair,NE,Nebraska,41.5417,-96.1361,7892
Jersey Village,TX,Texas,29.8903,-95.5721,7890
Lexington,TN,Tennessee,35.6618,-88.3945,7889
Richfield,UT,Utah,38.7628,-112.0926,7888
Centerville,GA,Georgia,32.6342,-83.6853,7884
West Long Branch,NJ,New Jersey,40.2883,-74.0185,7881
Flushing,MI,Michigan,43.0637,-83.8403,7880
Middletown,KY,Kentucky,38.241,-85.5215,7877
Ashland,VA,Virginia,37.7596,-77.4715,7875
Fruitvale,CO,Colorado,39.0933,-108.4789,7874
Seminole,TX,Texas,32.7208,-102.6503,7871
Altoona,WI,Wisconsin,44.8029,-91.4385,7870
Grand Blanc,MI,Michigan,42.9258,-83.6181,7870
Abingdon,VA,Virginia,36.7089,-81.9713,7867
Bridge City,TX,Texas,30.0298,-93.8406,7862
Woodlake,CA,California,36.4124,-119.0999,7854
Hastings-on-Hudson,NY,New York,40.9902,-73.8801,7853
Bryans Road,MD,Maryland,38.6144,-77.085,7847
York,NE,Nebraska,40.8698,-97.5928,7846
Ashland,WI,Wisconsin,46.5801,-90.8715,7843
Princeton,IL,Illinois,41.3807,-89.464,7840
Sangaree,SC,South Carolina,33.0328,-80.1253,7840
Templeton,CA,California,35.556,-120.7182,7838
Los Fresnos,TX,Texas,26.075,-97.4877,7837
South Weber,UT,Utah,41.1334,-111.9392,7836
Watford City,ND,North Dakota,47.8028,-103.2678,7835
Crookston,MN,Minnesota,47.7747,-96.6062,7835
Madison Park,NJ,New Jersey,40.4461,-74.2959,7834
Covington,VA,Virginia,37.7785,-79.9868,7832
Latrobe,PA,Pennsylvania,40.3125,-79.3826,7830
DeFuniak Springs,FL,Florida,30.7123,-86.1208,7823
Williamsburg,FL,Florida,28.4015,-81.4461,7823
Olivette,MO,Missouri,38.6724,-90.3786,7822
Baldwinsville,NY,New York,43.157,-76.3318,7822
Sound Beach,NY,New York,40.9578,-72.9726,7821
Winters,CA,California,38.532,-121.9781,7820
Aibonito,PR,Puerto Rico,18.1398,-66.2659,7820
Glenside,PA,Pennsylvania,40.1032,-75.1517,7819
Breckenridge,CO,Colorado,39.4995,-106.0433,7818
Interlaken,CA,California,36.9505,-121.7363,7817
Southgate,FL,Florida,27.3082,-82.5096,7817
Medina,NY,New York,43.2197,-78.3888,7816
Strathmore,NJ,New Jersey,40.4018,-74.2193,7816
Greenville,NY,New York,40.9981,-73.8194,7814
Seville,OH,Ohio,41.0208,-81.8671,7812
Kenai,AK,Alaska,60.5619,-151.1985,7807
Wilson,PA,Pennsylvania,40.6844,-75.2407,7807
Carnegie,PA,Pennsylvania,40.408,-80.0861,7806
Aubrey,TX,Texas,33.2872,-96.9622,7806
Pittston,PA,Pennsylvania,41.3274,-75.7885,7802
Holly Springs,MS,Mississippi,34.7768,-89.4466,7798
Rio Bravo,TX,Texas,27.3648,-99.482,7797
Withamsville,OH,Ohio,39.0628,-84.2808,7789
Kaufman,TX,Texas,32.5769,-96.316,7788
Campbell,OH,Ohio,41.0777,-80.5904,7785
Guadalupe,CA,California,34.9608,-120.5735,7783
Providence,UT,Utah,41.7033,-111.8121,7780
Milan,MI,Michigan,42.0816,-83.6853,7778
Oroville East,CA,California,39.4947,-121.4866,7771
Estes Park,CO,Colorado,40.3699,-105.5216,7769
Waite Park,MN,Minnesota,45.5313,-94.2528,7768
Antigo,WI,Wisconsin,45.1413,-89.1556,7767
Park City,KS,Kansas,37.8103,-97.3255,7764
Forsyth,MO,Missouri,36.686,-93.1016,7761
McGregor,FL,Florida,26.5611,-81.9134,7760
Cheraw,SC,South Carolina,34.6955,-79.9085,7757
Swainsboro,GA,Georgia,32.5866,-82.3345,7757
Jasper,TX,Texas,30.9221,-93.9947,7750
Wynne,AR,Arkansas,35.2322,-90.7894,7749
Round Lake Park,IL,Illinois,42.3309,-88.075,7747
Quarryville,PA,Pennsylvania,39.8957,-76.1617,7741
Salida,CO,Colorado,38.53,-105.9981,7740
South Boston,VA,Virginia,36.7132,-78.9135,7740
Citrus Hills,FL,Florida,28.887,-82.4312,7739
Albion,NY,New York,43.246,-78.1902,7738
Wading River,NY,New York,40.9464,-72.823,7733
Salem,IL,Illinois,38.6279,-88.959,7730
Boyes Hot Springs,CA,California,38.3126,-122.4888,7728
Payette,ID,Idaho,44.0788,-116.9255,7727
Grove,OK,Oklahoma,36.593,-94.7879,7726
Gettysburg,PA,Pennsylvania,39.8304,-77.2339,7724
Highlands,TX,Texas,29.813,-95.0577,7720
Welcome,SC,South Carolina,34.8204,-82.46,7719
Kasson,MN,Minnesota,44.0333,-92.7482,7715
Granite Falls,WA,Washington,48.0874,-121.9706,7713
Creston,IA,Iowa,41.0597,-94.365,7713
Clear Lake,IA,Iowa,43.1346,-93.374,7711
Steele Creek,AK,Alaska,64.9295,-147.3955,7704
Fort Scott,KS,Kansas,37.8283,-94.7038,7697
Fanwood,NJ,New Jersey,40.6417,-74.3857,7697
Pukalani,HI,Hawaii,20.8329,-156.3415,7695
Hornsby Bend,TX,Texas,30.245,-97.5833,7694
Carbondale,CO,Colorado,39.3949,-107.2147,7684
Robinwood,MD,Maryland,39.6266,-77.663,7684
Perry,IA,Iowa,41.8387,-94.0937,7676
Sebastopol,CA,California,38.4001,-122.8276,7674
Webster City,IA,Iowa,42.4623,-93.8167,7671
Hastings,MI,Michigan,42.6498,-85.2887,7670
Plain City,UT,Utah,41.307,-112.0877,7669
Indiantown,FL,Florida,27.0375,-80.4913,7669
Fort Dix,NJ,New Jersey,40.006,-74.6089,7668
Collinsville,VA,Virginia,36.7215,-79.9121,7665
Holtville,CA,California,32.813,-115.378,7664
Wellington,KS,Kansas,37.2622,-97.4282,7662
Piñon Hills,CA,California,34.4438,-117.6214,7661
Auburn,GA,Georgia,34.0157,-83.8319,7660
Thurmont,MD,Maryland,39.621,-77.4076,7659
Old Jefferson,LA,Louisiana,30.3776,-91.006,7659
North Patchogue,NY,New York,40.7833,-73.0234,7657
Brighton,MI,Michigan,42.5298,-83.7847,7656
Oakdale,LA,Louisiana,30.8157,-92.6542,7656
San Antonio,PR,Puerto Rico,18.4468,-66.3002,7655
Lamar,CO,Colorado,38.0739,-102.6153,7655
Butler,NJ,New Jersey,40.9989,-74.3471,7654
Chehalis,WA,Washington,46.6638,-122.965,7654
Etowah,NC,North Carolina,35.3061,-82.5902,7653
